z irany (tekercsek kozott):
d (jobb tekercstol mert tav., mm)	x (kijelzon mert elmozdulas, kocka)
9					0
5					0.5
12					-0.3

x irany (elore-hatra, asztal sarkatol):
d (cm)					x
8.6					-1.8
7.4					-0.6
9.9 					-2.1
11					-2.3

y irany (fel-le, referenciat levontam):
d (cm)					x
4.5					0
2.4					0.2
6.2					-0.1

egy kocka becslesehez: 
			f0=6.056
egy kockaval odebb:     f1=6.044
