       89.92     -0.4620     2569.36   14
       89.65     -0.4725     2587.04   14
       89.28     -0.4828     2613.57   14
       88.77     -0.4911     2651.47   14
       88.26     -0.4964     2693.16   14
       87.75     -0.4993     2738.64   14
       87.25     -0.5019     2787.91   14
       86.74     -0.5041     2842.23   14
       86.24     -0.5060     2902.87   14
       85.74     -0.5066     2971.08   14
       85.23     -0.5065     3050.84   14
